ean;sku;manufacturer;title;stock;price
088381744591;DLX4157TX1_MAK;Makita;Akumuliatorinių įrankių rinkinys MAKITA DLX4157TX1;4;1179.86
088381752251;DBO380Z_MAK;Makita;Akumuliatorinis vibracinis šlifuoklis MAKITA DBO380Z;4;179.64
4003773066781;7172910_KNI;Knipex;Varžtų kirpimo replės KNIPEX 7172910;4;252.67
4007140026255;245030_RUK;Ruko;Sriegiklių ir sriegpjovių komplektas su grąžtais RUKO HSS M3-M12;4;367.36
4030293208216;465682_FLE;FLEX;Siurblys FLEX VCE 33 M AC su priedais;4;878.42
088381728614;DML814_MAK;Makita;Akumuliatorinis teleskopinis šviestuvas MAKITA DML814;4;348.29
088381748926;MP001GZ_MAK;Makita;Akumuliatorinis kompresorius MAKITA MP001GZ;4;182.06
088381748902;DMP181Z_MAK;Makita;Akumuliatorinis kompresorius MAKITA DMP181Z;4;179.36
088381739047;MR002GZ_MAK;Makita;Radijo imtuvas su bluetooth MAKITA MR002G;4;224.16
088381744744;DLX2432TJ_MAK;Makita;Akumuliatorinių įrankių rinkinys MAKITA DLX2432TJ;4;755.23
4030839321706;76541-41_ELT;ELTEN;Žieminiai batai ELTEN Joschi Boa GTX ESD S3 SRC Cl 41;4;204.01
4030839321713;76541-42_ELT;ELTEN;Žieminiai batai ELTEN Joschi Boa GTX ESD S3 SRC Cl 42;4;204.01
4030839321720;76541-43_ELT;ELTEN;Žieminiai batai ELTEN Joschi Boa GTX ESD S3 SRC Cl 43;4;204.01
4030839321744;76541-45_ELT;ELTEN;Žieminiai batai ELTEN Joschi Boa GTX ESD S3 SRC Cl 45;4;204.01
4007220166109;25201046_PFE;Pferd;3 dalių pakopinių grąžtų rinkinys PFERD STB HSS 3;4;134.15
4042146863138;516.2400_ks;KsTools;11 dalių dinamometrinio rakto ir galvučių rinkinys KS TOOLS 20-200Nm 1/2quot;4;241.11
088381741422;DTM52RTJX1_MAK;Makita;Akumuliatorinis švytuoklinis įrankis MAKITA DTM52RTJX1;4;628.2
4007220226704;21901414_PFE;Pferd;3-jų dalių HM frezų rinkinys PFERD Allround 1414 12mm;4;121.65
088381741613;DUS054Z_MAK;Makita;Akumuliatorinis sodo purkštuvas MAKITA DUS054Z, 5L;4;237.81
7040056980393;71304_590-XS_HH;Helly Hansen workwear;Moteriška striukė HELLY HANSEN Luna Winter, mėlyna XS;4;211.97
7040056980362;71304_590-S_HH;Helly Hansen workwear;Moteriška striukė HELLY HANSEN Luna Winter, mėlyna S;4;211.97
7040056980355;71304_590-M_HH;Helly Hansen workwear;Moteriška striukė HELLY HANSEN Luna Winter, mėlyna M;4;211.97
7040056980348;71304_590-L_HH;Helly Hansen workwear;Moteriška striukė HELLY HANSEN Luna Winter, mėlyna L;4;211.97
7040056980386;71304_590-XL_HH;Helly Hansen workwear;Moteriška striukė HELLY HANSEN Luna Winter, mėlyna XL;4;211.97
7040056399379;74095_369-S_HH;Helly Hansen workwear;Šviesą atspindinti striukė HELLY HANSEN Alna 2.0 Softshell, geltona S;4;112.83
7040056399362;74095_369-M_HH;Helly Hansen workwear;Šviesą atspindinti striukė HELLY HANSEN Alna 2.0 Softshell, geltona M;4;112.83
